Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
15_4_peralta_2006_mendoza_site_4,1,2,1,Larrea divaricata,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,1,2,2,Buddleja mendozensis,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,1,2,3,Echinopsis candicans,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,1,2,4,Buddleja mendozensis,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,1,2,5,Buddleja mendozensis,Melectoides cockerelli
15_4_peralta_2006_mendoza_site_4,1,2,6,Buddleja mendozensis,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,1,2,7,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,1,2,8,Larrea divaricata,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,1,2,9,Condalia microphylla,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,1,2,10,Clematis campestris,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,1,2,11,Larrea divaricata,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,1,2,12,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,1,2,13,Spartium junceum,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,1,2,14,Menodora decemfida,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,1,2,15,Clematis campestris,Camponotus mus
15_4_peralta_2006_mendoza_site_4,1,2,16,Senna aphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,1,2,17,Senecio pinnatus,Camponotus mus
15_4_peralta_2006_mendoza_site_4,1,2,18,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,1,2,19,Schinus fasciculata,Camponotus mus
15_4_peralta_2006_mendoza_site_4,1,2,20,Opuntia sulphurea,Camponotus mus
15_4_peralta_2006_mendoza_site_4,1,2,21,Condalia microphylla,Syrphus sp.1
15_4_peralta_2006_mendoza_site_4,1,2,22,Condalia microphylla,Compsomyiops fulvicrura
15_4_peralta_2006_mendoza_site_4,1,2,23,Larrea divaricata,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,1,2,24,Echinopsis candicans,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,1,2,25,Zuccagnia punctata,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,1,2,26,Echinopsis candicans,Nitidulidae sp.1
15_4_peralta_2006_mendoza_site_4,1,2,27,Echinopsis candicans,Dialictus sp.
15_4_peralta_2006_mendoza_site_4,1,2,28,Larrea divaricata,Copestilum aricia
15_4_peralta_2006_mendoza_site_4,1,2,29,Schinus fasciculata,Copestilum aricia
15_4_peralta_2006_mendoza_site_4,1,2,30,Larrea divaricata,Centris brethesi
15_4_peralta_2006_mendoza_site_4,1,2,31,Larrea divaricata,Megachile obscurior
15_4_peralta_2006_mendoza_site_4,1,2,32,Larrea divaricata,Xylocopa atamisquensis
15_4_peralta_2006_mendoza_site_4,1,2,33,Larrea divaricata,Apis mellifera
15_4_peralta_2006_mendoza_site_4,1,2,34,Larrea divaricata,Bombus opifex
15_4_peralta_2006_mendoza_site_4,1,2,35,Larrea divaricata,Leioproctus abdominalis
15_4_peralta_2006_mendoza_site_4,1,2,36,Larrea divaricata,Megachile leucographa
15_4_peralta_2006_mendoza_site_4,1,2,37,Zuccagnia punctata,Centris brethesi
15_4_peralta_2006_mendoza_site_4,1,2,38,Zuccagnia punctata,Xylocopa atamisquensis
15_4_peralta_2006_mendoza_site_4,1,2,39,Zuccagnia punctata,Apis mellifera
15_4_peralta_2006_mendoza_site_4,1,2,40,Opuntia sulphurea,Apis mellifera
15_4_peralta_2006_mendoza_site_4,1,2,41,Prosopis flexuosa,Apis mellifera
15_4_peralta_2006_mendoza_site_4,1,2,42,Opuntia sulphurea,Bombus opifex
15_4_peralta_2006_mendoza_site_4,1,2,43,Lecanophora heterophylla,Psaenythia rufipes
15_4_peralta_2006_mendoza_site_4,1,2,44,Schinus fasciculata,Chrysanthrax sp.2
15_4_peralta_2006_mendoza_site_4,1,2,45,Zuccagnia punctata,Colletes araucariae
15_4_peralta_2006_mendoza_site_4,2,3,1,Echinopsis candicans,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,2,3,1,Larrea divaricata,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,2,3,2,Buddleja mendozensis,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,2,3,2,Larrea divaricata,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,2,3,3,Buddleja mendozensis,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,2,3,3,Echinopsis candicans,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,2,3,4,Buddleja mendozensis,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,2,3,4,Larrea divaricata,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,2,3,5,Condalia microphylla,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,2,3,5,Larrea divaricata,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,2,3,6,Buddleja mendozensis,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,2,3,6,Condalia microphylla,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,2,3,7,Buddleja mendozensis,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,2,3,7,Clematis campestris,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,2,3,8,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,8,Larrea divaricata,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,9,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,9,Menodora decemfida,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,10,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,10,Spartium junceum,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,11,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,11,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,12,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,12,Larrea divaricata,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,13,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,13,Menodora decemfida,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,14,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,14,Spartium junceum,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,15,Larrea divaricata,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,15,Spartium junceum,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,16,Menodora decemfida,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,16,Spartium junceum,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,17,Larrea divaricata,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,17,Menodora decemfida,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,2,3,18,Clematis campestris,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,18,Opuntia sulphurea,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,19,Clematis campestris,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,19,Senna aphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,20,Clematis campestris,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,20,Senecio pinnatus,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,21,Clematis campestris,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,21,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,22,Clematis campestris,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,22,Schinus fasciculata,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,23,Schinus fasciculata,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,23,Senna aphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,24,Opuntia sulphurea,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,24,Senna aphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,25,Senecio pinnatus,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,25,Senna aphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,26,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,26,Senna aphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,27,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,27,Schinus fasciculata,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,28,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,28,Opuntia sulphurea,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,29,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,29,Senecio pinnatus,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,30,Schinus fasciculata,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,30,Senecio pinnatus,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,31,Opuntia sulphurea,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,31,Senecio pinnatus,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,32,Opuntia sulphurea,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,32,Schinus fasciculata,Camponotus mus
15_4_peralta_2006_mendoza_site_4,2,3,33,Echinopsis candicans,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,2,3,33,Zuccagnia punctata,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,2,3,34,Echinopsis candicans,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,2,3,34,Larrea divaricata,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,2,3,35,Larrea divaricata,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,2,3,35,Zuccagnia punctata,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,2,3,36,Larrea divaricata,Copestilum aricia
15_4_peralta_2006_mendoza_site_4,2,3,36,Schinus fasciculata,Copestilum aricia
15_4_peralta_2006_mendoza_site_4,2,3,37,Larrea divaricata,Centris brethesi
15_4_peralta_2006_mendoza_site_4,2,3,37,Zuccagnia punctata,Centris brethesi
15_4_peralta_2006_mendoza_site_4,2,3,38,Larrea divaricata,Xylocopa atamisquensis
15_4_peralta_2006_mendoza_site_4,2,3,38,Zuccagnia punctata,Xylocopa atamisquensis
15_4_peralta_2006_mendoza_site_4,2,3,39,Larrea divaricata,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,39,Zuccagnia punctata,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,40,Opuntia sulphurea,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,40,Zuccagnia punctata,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,41,Prosopis flexuosa,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,41,Zuccagnia punctata,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,42,Larrea divaricata,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,42,Prosopis flexuosa,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,43,Larrea divaricata,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,43,Opuntia sulphurea,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,44,Opuntia sulphurea,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,44,Prosopis flexuosa,Apis mellifera
15_4_peralta_2006_mendoza_site_4,2,3,45,Larrea divaricata,Bombus opifex
15_4_peralta_2006_mendoza_site_4,2,3,45,Opuntia sulphurea,Bombus opifex
15_4_peralta_2006_mendoza_site_4,3,3,1,Buddleja mendozensis,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,3,3,1,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,3,3,2,Buddleja mendozensis,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,3,3,2,Buddleja mendozensis,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,3,3,3,Buddleja mendozensis,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,3,3,3,Buddleja mendozensis,Melectoides cockerelli
15_4_peralta_2006_mendoza_site_4,3,3,4,Buddleja mendozensis,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,3,3,4,Buddleja mendozensis,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,3,3,5,Buddleja mendozensis,Melectoides cockerelli
15_4_peralta_2006_mendoza_site_4,3,3,5,Buddleja mendozensis,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,3,3,6,Buddleja mendozensis,Melectoides cockerelli
15_4_peralta_2006_mendoza_site_4,3,3,6,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,3,3,7,Buddleja mendozensis,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,3,3,7,Buddleja mendozensis,Melectoides cockerelli
15_4_peralta_2006_mendoza_site_4,3,3,8,Buddleja mendozensis,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,3,3,8,Buddleja mendozensis,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,3,3,9,Buddleja mendozensis,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,3,3,9,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,3,3,10,Buddleja mendozensis,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,3,3,10,Buddleja mendozensis,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,3,3,11,Clematis campestris,Ammophila sp.
15_4_peralta_2006_mendoza_site_4,3,3,11,Clematis campestris,Camponotus mus
15_4_peralta_2006_mendoza_site_4,3,3,12,Condalia microphylla,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,3,3,12,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,3,3,13,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,3,3,13,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,3,3,14,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,3,3,14,Condalia microphylla,Compsomyiops fulvicrura
15_4_peralta_2006_mendoza_site_4,3,3,15,Condalia microphylla,Camponotus mus
15_4_peralta_2006_mendoza_site_4,3,3,15,Condalia microphylla,Syrphus sp.1
15_4_peralta_2006_mendoza_site_4,3,3,16,Condalia microphylla,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,3,3,16,Condalia microphylla,Syrphus sp.1
15_4_peralta_2006_mendoza_site_4,3,3,17,Condalia microphylla,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,3,3,17,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,3,3,18,Condalia microphylla,Chrysanthrax sp.1
15_4_peralta_2006_mendoza_site_4,3,3,18,Condalia microphylla,Compsomyiops fulvicrura
15_4_peralta_2006_mendoza_site_4,3,3,19,Condalia microphylla,Syrphus sp.1
15_4_peralta_2006_mendoza_site_4,3,3,19,Condalia microphylla,Compsomyiops fulvicrura
15_4_peralta_2006_mendoza_site_4,3,3,20,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,3,3,20,Condalia microphylla,Compsomyiops fulvicrura
15_4_peralta_2006_mendoza_site_4,3,3,21,Condalia microphylla,Hirmoneura sp.
15_4_peralta_2006_mendoza_site_4,3,3,21,Condalia microphylla,Syrphus sp.1
15_4_peralta_2006_mendoza_site_4,3,3,22,Echinopsis candicans,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,3,3,22,Echinopsis candicans,Dialictus sp.
15_4_peralta_2006_mendoza_site_4,3,3,23,Echinopsis candicans,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,3,3,23,Echinopsis candicans,Lepidoptera sp.4
15_4_peralta_2006_mendoza_site_4,3,3,24,Echinopsis candicans,Augochloropsis sp.
15_4_peralta_2006_mendoza_site_4,3,3,24,Echinopsis candicans,Nitidulidae sp.1
15_4_peralta_2006_mendoza_site_4,3,3,25,Echinopsis candicans,Lepidoptera sp.4
