Network_id,Motif_pattern_id,Nodes,Motif_number,Plant_species,Pollinator_species
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,1,Cistus crispus,Dasypoda cingulata
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,2,Cistus crispus,Eucera codinai
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,3,Cistus crispus,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,4,Cistus crispus,Lasioglossum albocinctum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,5,Cistus salviifolius,Eucera codinai
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,6,Thapsia villosa,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,7,Rosmarinus officinalis,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,8,Lavandula stoechas,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,9,Erophaca baetica,Apis mellifera
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,10,Cistus salviifolius,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,11,Lavandula stoechas,Nomada sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,12,Erophaca baetica,Anthophora hispanica
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,13,Erophaca baetica,Macroglossum stellatarum
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,14,Erophaca baetica,Anthophora aestivalis
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,15,Lavandula pedunculata,Lestica clypeata
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,16,Lavandula stoechas,Lasioglossum sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,17,Lavandula stoechas,Xylocopa cantabrita
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,18,Lavandula stoechas,Eucera sp.
12_4_bartomeus_spain_2008_CotitodeSantaTeresa_unp,1,2,19,Lavandula stoechas,Dasypoda crassicornis
