Network_id,Motif_pattern_id,Motif_functional_ID,Counts
3_1_dupont_2009_denmark_hl,8,8_5_Bee_Bee_Bee_Syrphids,600
3_1_dupont_2009_denmark_hl,8,8_5_Bee_Bee_Non-bee-Hymenoptera_Syrphids,450
3_1_dupont_2009_denmark_hl,8,8_5_Bee_Bee_Syrphids_Syrphids,450
3_1_dupont_2009_denmark_hl,8,8_1_Bee_Syrphids_Syrphids_Syrphids,330
3_1_dupont_2009_denmark_hl,8,8_1_Syrphids_Syrphids_Syrphids_Syrphids,330
3_1_dupont_2009_denmark_hl,8,8_5_Bee_Bee_Bee_Non-bee-Hymenoptera,240
3_1_dupont_2009_denmark_hl,4,4_5_Bee_Bee_Syrphids,225
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,224
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,224
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,224
3_1_dupont_2009_denmark_hl,8,8_5_Bee_Bee_Bee_Bee,210
3_1_dupont_2009_denmark_hl,8,8_5_Bee_Non-bee-Hymenoptera_Syrphids_Syrphids,200
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,168
3_1_dupont_2009_denmark_hl,8,8_4_Coleoptera_Non-syrphids-diptera_Syrphids_Syrphids,168
3_1_dupont_2009_denmark_hl,4,4_1_Syrphids_Syrphids_Syrphids,165
3_1_dupont_2009_denmark_hl,8,8_4_Non-syrphids-diptera_Syrphids_Syrphids_Syrphids,140
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Lepidoptera_Non-syrphids-diptera_Syrphids,128
3_1_dupont_2009_denmark_hl,8,8_4_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids_Syrphids,126
3_1_dupont_2009_denmark_hl,4,4_5_Bee_Bee_Bee,120
3_1_dupont_2009_denmark_hl,4,4_2_Bee_Non-syrphids-diptera_Non-syrphids-diptera,112
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,112
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,112
3_1_dupont_2009_denmark_hl,8,8_2_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,112
3_1_dupont_2009_denmark_hl,8,8_2_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,112
3_1_dupont_2009_denmark_hl,8,8_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,112
3_1_dupont_2009_denmark_hl,4,4_1_Bee_Syrphids_Syrphids,110
3_1_dupont_2009_denmark_hl,4,4_5_Bee_Non-bee-Hymenoptera_Syrphids,100
3_1_dupont_2009_denmark_hl,4,4_5_Bee_Syrphids_Syrphids,100
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Bee_Non-syrphids-diptera_Syrphids,100
3_1_dupont_2009_denmark_hl,8,8_5_Bee_Syrphids_Syrphids_Syrphids,100
3_1_dupont_2009_denmark_hl,8,8_2_Bee_Bee_Lepidoptera_Non-syrphids-diptera,96
3_1_dupont_2009_denmark_hl,4,4_5_Bee_Bee_Non-bee-Hymenoptera,90
3_1_dupont_2009_denmark_hl,4,4_4_Non-syrphids-diptera_Syrphids_Syrphids,84
3_1_dupont_2009_denmark_hl,8,8_4_Bee_Non-syrphids-diptera_Syrphids_Syrphids,84
3_1_dupont_2009_denmark_hl,8,8_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,84
3_1_dupont_2009_denmark_hl,8,8_4_Lepidoptera_Non-syrphids-diptera_Syrphids_Syrphids,84
3_1_dupont_2009_denmark_hl,8,8_1_Coleoptera_Coleoptera_Lepidoptera_Non-bee-Hymenoptera,80
3_1_dupont_2009_denmark_hl,8,8_1_Coleoptera_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,80
3_1_dupont_2009_denmark_hl,8,8_1_Coleoptera_Coleoptera_Non-bee-Hymenoptera_Syrphids,80
3_1_dupont_2009_denmark_hl,8,8_1_Coleoptera_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,80
3_1_dupont_2009_denmark_hl,8,8_1_Coleoptera_Lepidoptera_Non-bee-Hymenoptera_Syrphids,80
3_1_dupont_2009_denmark_hl,8,8_1_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,80
